Tensors_:0,Tensors_:1,Tensors_:2,Tensors_:3,Tensors_:4,Tensors_:5,Tensors_:6,Tensors_:7,Tensors_:8,Points:0,Points:1,Points:2
0.49999964,4.7880445e-07,1.2239724e-07,4.7880445e-07,0.50000113,-5.948345e-07,1.2239724e-07,-5.948345e-07,0.49999923,13,10,0
0.4999961,3.439516e-06,1.2108048e-06,3.439516e-06,0.50001055,-7.5223033e-06,1.2108048e-06,-7.5223033e-06,0.49999335,14,10,0
0.49996877,1.5180156e-05,1.17622085e-05,1.5180156e-05,0.50007045,-6.449894e-05,1.17622085e-05,-6.449894e-05,0.49996075,15,10,0
0.49979034,3.1509215e-05,0.00011357593,3.1509215e-05,0.50040174,-0.0004605636,0.00011357593,-0.0004605636,0.49980795,16,10,0
0.4987521,-0.00020790612,0.0010288565,-0.00020790612,0.50206584,-0.0029695407,0.0010288565,-0.0029695407,0.49918208,17,10,0
0.49393338,-0.0031657626,0.00794396,-0.0031657626,0.5088506,-0.016424812,0.00794396,-0.016424812,0.49721608,18,10,0
0.48097706,-0.02028523,0.044107445,-0.02028523,0.5252204,-0.06564504,0.044107445,-0.06564504,0.49380255,19,10,0
0.47538128,-0.0646139,0.14311418,-0.0646139,0.53296375,-0.15275484,0.14311418,-0.15275484,0.49165496,20,10,0
0.6389237,-0.079101056,0.31940907,-0.079101056,0.42507902,-0.08487292,0.31940907,-0.08487292,0.43599728,23,10,0
0.7068491,-0.044225495,0.30929133,-0.044225495,0.40375814,-0.015537884,0.30929133,-0.015537884,0.38939276,24,10,0
0.7717593,0.0029770911,0.26672274,0.0029770911,0.38983366,0.052906685,0.26672274,0.052906685,0.33840707,25,10,0
0.82093674,0.06705421,0.18783654,0.06705421,0.378015,0.10719092,0.18783654,0.10719092,0.30104825,26,10,0
0.8328676,0.14756884,0.08626249,0.14756884,0.37361547,0.12679768,0.08626249,0.12679768,0.29351693,27,10,0
0.79977536,0.22431181,-0.011437621,0.22431181,0.38756338,0.1036911,-0.011437621,0.1036911,0.31266126,28,10,0
0.73629034,0.27541953,-0.09139399,0.27541953,0.41610366,0.05234069,-0.09139399,0.05234069,0.347606,29,10,0
0.6581319,0.2920708,-0.15208341,0.2920708,0.44408694,-0.00892749,-0.15208341,-0.00892749,0.39778116,30,10,0
0.4999977,0.006666518,-0.0057771564,0.006666518,0.49883634,-0.0028898495,-0.0057771564,-0.0028898495,0.5011659,32,10,0
0.4999995,1.5122165e-06,-1.5911137e-06,1.5122165e-06,0.49999955,-9.407495e-07,-1.5911137e-06,-9.407495e-07,0.50000095,33,10,0
0.49999997,3.521574e-08,-3.3872969e-09,3.521574e-08,0.50000006,-5.8423474e-08,-3.3872969e-09,-5.8423474e-08,0.49999997,14,11,0
0.49999988,1.423866e-07,-7.1727295e-09,1.423866e-07,0.50000024,-3.393866e-07,-7.1727295e-09,-3.393866e-07,0.49999988,15,11,0
0.49999917,6.4587124e-07,1.1421313e-07,6.4587124e-07,0.5000013,-2.3518473e-06,1.1421313e-07,-2.3518473e-06,0.49999955,16,11,0
