"V:0","V:1","V:2","Points:0","Points:1","Points:2"
1.796,-6.2586,-20.099,-4.3076,-2.487,0
2.6123,-6.5237,-21.066,-4.3076,-2.487,-0.28798
2.8562,-5.8535,-20.1,-3.8103,-3.1972,0
3.7062,-5.9723,-21.066,-3.8103,-3.1972,-0.28798
3.8311,-5.2696,-20.099,-3.1972,-3.8103,0
4.6883,-5.2388,-21.065,-3.1972,-3.8103,-0.28798
4.6892,-4.5241,-20.098,-2.487,-4.3076,0
5.5276,-4.3452,-21.064,-2.487,-4.3076,-0.28798
5.4035,-3.6404,-20.096,-1.7012,-4.674,0
6.1981,-3.319,-21.063,-1.7012,-4.674,-0.28798
-9.9172,-0.98313,-18.701,-1.5685,4.3094,0
-10.449,-2.2818,-19.293,-1.5685,4.3094,-0.28798
-9.5957,-2.6889,-18.703,-2.293,3.9716,0
-9.8939,-4.061,-19.294,-2.293,3.9716,-0.28798
-8.9843,-4.3137,-18.704,-2.9478,3.5131,0
-9.0391,-5.7172,-19.295,-2.9478,3.5131,-0.28798
-8.1006,-5.8094,-18.705,-3.5131,2.9478,0
-7.9101,-7.2008,-19.296,-3.5131,2.9478,-0.28798
-6.9687,-7.1302,-18.704,-3.9716,2.293,0
-6.5398,-8.4665,-19.296,-3.9716,2.293,-0.28798
-5.6234,-8.2332,-18.703,-4.3094,1.5685,0
-4.9698,-9.4742,-19.295,-4.3094,1.5685,-0.28798
-4.1075,-9.0842,-18.702,-4.5163,0.79635,0
-3.2488,-10.193,-19.294,-4.5163,0.79635,-0.28798
-2.4676,-9.6585,-18.702,-4.586,4.996e-14,0
-1.4295,-10.602,-19.294,-4.586,4.9794e-14,-0.28798
-0.7532,-9.9392,-18.702,-4.5163,-0.79635,0
0.43301,-10.688,-19.294,-4.5163,-0.79635,-0.28798
0.98302,-9.9185,-18.703,-4.3094,-1.5685,0
2.2819,-10.45,-19.295,-4.3094,-1.5685,-0.28798
2.6892,-9.5983,-18.705,-3.9716,-2.293,0
4.0615,-9.8958,-19.296,-3.9716,-2.293,-0.28798
4.3155,-8.9877,-18.705,-3.5131,-2.9478,0
5.7187,-9.0415,-19.296,-3.5131,-2.9478,-0.28798
5.8128,-8.1026,-18.704,-2.9478,-3.5131,0
7.2033,-7.9118,-19.296,-2.9478,-3.5131,-0.28798
7.133,-6.9695,-18.703,-2.293,-3.9716,0
8.4686,-6.5406,-19.294,-2.293,-3.9716,-0.28798
8.2351,-5.6239,-18.701,-1.5685,-4.3094,0
9.4757,-4.9703,-19.293,-1.5685,-4.3094,-0.28798
0,0,0,0,5.75,-0.61915
-3.847,0.19064,-16.296,0,5.362,-0.61915
-3.8209,-0.48015,-16.297,-0.9311,5.2805,-0.61915
0,0,0,-0.99848,5.6626,-0.61915
-3.6789,-1.1362,-16.297,-1.8339,5.0386,-0.61915
0,0,0,-1.9666,5.4032,-0.61915
-3.4256,-1.7576,-16.298,-2.681,4.6436,-0.61915
0,0,0,-2.875,4.9796,-0.61915
-3.0686,-2.326,-16.299,-3.4466,4.1075,-0.61915
0,0,0,-3.696,4.4048,-0.61915
-2.6186,-2.824,-16.299,-4.1075,3.4466,-0.61915
0,0,0,-4.4048,3.696,-0.61915
-2.0887,-3.2365,-16.299,-4.6436,2.681,-0.61915
0,0,0,-4.9796,2.875,-0.61915
-1.495,-3.5503,-16.298,-5.0386,1.8339,-0.61915
0,0,0,-5.4032,1.9666,-0.61915
-0.85579,-3.7557,-16.298,-5.2805,0.9311,-0.61915
0,0,0,-5.6626,0.99848,-0.61915
-0.19063,-3.8468,-16.297,-5.362,5.3943e-14,-0.61915
0,0,0,-5.75,4.3521e-14,-0.61915
0.48019,-3.821,-16.298,-5.2805,-0.9311,-0.61915
0,0,0,-5.6626,-0.99848,-0.61915
1.1363,-3.6794,-16.298,-5.0386,-1.8339,-0.61915
0,0,0,-5.4032,-1.9666,-0.61915
1.7581,-3.4265,-16.299,-4.6436,-2.681,-0.61915
0,0,0,-4.9796,-2.875,-0.61915
2.3269,-3.0697,-16.299,-4.1075,-3.4466,-0.61915
0,0,0,-4.4048,-3.696,-0.61915
2.8252,-2.6195,-16.299,-3.4466,-4.1075,-0.61915
0,0,0,-3.696,-4.4048,-0.61915
3.2375,-2.0893,-16.298,-2.681,-4.6436,-0.61915
0,0,0,-2.875,-4.9796,-0.61915
3.551,-1.4953,-16.297,-1.8339,-5.0386,-0.61915
0,0,0,-1.9666,-5.4032,-0.61915
3.7562,-0.85589,-16.297,-0.9311,-5.2805,-0.61915
0,0,0,-0.99848,-5.6626,-0.61915
3.847,-0.19064,-16.296,0,-5.362,-0.61915
0,0,0,0,-5.75,-0.61915
-7.498,0.26848,-21.122,0,4.974,-0.61915
-7.4297,-1.0374,-21.122,-0.86373,4.8984,-0.61915
7.3385,-1.5666,-21.122,-0.86373,-4.8984,-0.61915
7.498,-0.26848,-21.122,0,-4.974,-0.61915
-11.336,0.28083,-19.084,0,4.586,-0.61915
-11.211,-1.6917,-19.084,-0.79635,4.5163,-0.61915
11.116,-2.2451,-19.084,-0.79635,-4.5163,-0.61915
11.336,-0.28083,-19.084,0,-4.586,-0.61915
-15.519,0.093649,-11.76,0,4.198,-0.61915
-15.299,-2.6026,-11.76,-0.72898,4.1342,-0.61915
15.268,-2.7872,-11.76,-0.72898,-4.1342,-0.61915
15.519,-0.093649,-11.76,0,-4.198,-0.61915
-19.949,0,6.0993e-24,0,3.81,-0.61915
-19.646,-3.4641,6.0993e-24,-0.6616,3.7521,-0.61915
